id,start_date,end_date
1,1/10/2022,1/23/2022
2,1/24/2022,2/6/2022
3,2/7/2022,2/20/2022
4,2/21/2022,3/6/2022
5,3/7/2022,3/20/2022
6,3/21/2022,4/3/2022
7,4/4/2022,4/17/2022
8,4/18/2022,5/1/2022
9,5/2/2022,5/15/2022
10,5/16/2022,5/29/2022
11,5/30/2022,6/12/2022
12,6/13/2022,6/26/2022
13,6/27/2022,7/10/2022
14,7/11/2022,7/24/2022
15,7/25/2022,8/7/2022
16,8/8/2022,8/21/2022
17,8/22/2022,9/4/2022
18,9/5/2022,9/18/2022
19,9/19/2022,10/2/2022
20,10/3/2022,10/16/2022
21,10/17/2022,10/30/2022
22,10/31/2022,11/13/2022
23,11/14/2022,11/27/2022
24,11/28/2022,12/11/2022
25,12/12/2022,12/25/2022
26,12/26/2022,1/8/2023
27,1/9/2023,1/22/2023
28,1/23/2023,2/5/2023
29,2/6/2023,2/19/2023
30,2/20/2023,3/5/2023
31,3/6/2023,3/19/2023
32,3/20/2023,4/2/2023
33,4/3/2023,4/16/2023
34,4/17/2023,4/30/2023
35,5/1/2023,5/14/2023
36,5/15/2023,5/28/2023
37,5/29/2023,6/11/2023
38,6/12/2023,6/25/2023
39,6/26/2023,7/9/2023
40,7/10/2023,7/23/2023
41,7/24/2023,8/6/2023
42,8/7/2023,8/20/2023
43,8/21/2023,9/3/2023
44,9/4/2023,9/17/2023
45,9/18/2023,10/1/2023
46,10/2/2023,10/15/2023
47,10/16/2023,10/29/2023
48,10/30/2023,11/12/2023
49,11/13/2023,11/26/2023
50,11/27/2023,12/10/2023
51,12/11/2023,12/24/2023
52,12/25/2023,1/7/2024
53,1/8/2024,1/21/2024
54,1/22/2024,2/4/2024
55,2/5/2024,2/18/2024
56,2/19/2024,3/3/2024
57,3/4/2024,3/17/2024
58,3/18/2024,3/31/2024
59,4/1/2024,4/14/2024
60,4/15/2024,4/28/2024
61,4/29/2024,5/12/2024
62,5/13/2024,5/26/2024
63,5/27/2024,6/9/2024
64,6/10/2024,6/23/2024
65,6/24/2024,7/7/2024
66,7/8/2024,7/21/2024
67,7/22/2024,8/4/2024
68,8/5/2024,8/18/2024
69,8/19/2024,9/1/2024
70,9/2/2024,9/15/2024
71,9/16/2024,9/29/2024
72,9/30/2024,10/13/2024
73,10/14/2024,10/27/2024
74,10/28/2024,11/10/2024
75,11/11/2024,11/24/2024
76,11/25/2024,12/8/2024
77,12/9/2024,12/22/2024
78,12/23/2024,1/5/2025
79,1/6/2025,1/19/2025
80,1/20/2025,2/2/2025
81,2/3/2025,2/16/2025
82,2/17/2025,3/2/2025
83,3/3/2025,3/16/2025
84,3/17/2025,3/30/2025
85,3/31/2025,4/13/2025
86,4/14/2025,4/27/2025
87,4/28/2025,5/11/2025
88,5/12/2025,5/25/2025
89,5/26/2025,6/8/2025
90,6/9/2025,6/22/2025
91,6/23/2025,7/6/2025
92,7/7/2025,7/20/2025
93,7/21/2025,8/3/2025
94,8/4/2025,8/17/2025
95,8/18/2025,8/31/2025
96,9/1/2025,9/14/2025
97,9/15/2025,9/28/2025
98,9/29/2025,10/12/2025
99,10/13/2025,10/26/2025
100,10/27/2025,11/9/2025
101,11/10/2025,11/23/2025
102,11/24/2025,12/7/2025
103,12/8/2025,12/21/2025
104,12/22/2025,1/4/2026
105,1/5/2026,1/18/2026
106,1/19/2026,2/1/2026
107,2/2/2026,2/15/2026
108,2/16/2026,3/1/2026
109,3/2/2026,3/15/2026
110,3/16/2026,3/29/2026
111,3/30/2026,4/12/2026
112,4/13/2026,4/26/2026
113,4/27/2026,5/10/2026
114,5/11/2026,5/24/2026
115,5/25/2026,6/7/2026
116,6/8/2026,6/21/2026
117,6/22/2026,7/5/2026
118,7/6/2026,7/19/2026
119,7/20/2026,8/2/2026
120,8/3/2026,8/16/2026
121,8/17/2026,8/30/2026
122,8/31/2026,9/13/2026
123,9/14/2026,9/27/2026
124,9/28/2026,10/11/2026
125,10/12/2026,10/25/2026
126,10/26/2026,11/8/2026
127,11/9/2026,11/22/2026
128,11/23/2026,12/6/2026
129,12/7/2026,12/20/2026
130,12/21/2026,1/3/2027
131,1/4/2027,1/17/2027
132,1/18/2027,1/31/2027
133,2/1/2027,2/14/2027
134,2/15/2027,2/28/2027
135,3/1/2027,3/14/2027
136,3/15/2027,3/28/2027
137,3/29/2027,4/11/2027
138,4/12/2027,4/25/2027
139,4/26/2027,5/9/2027
140,5/10/2027,5/23/2027
141,5/24/2027,6/6/2027
142,6/7/2027,6/20/2027
143,6/21/2027,7/4/2027
144,7/5/2027,7/18/2027
145,7/19/2027,8/1/2027
146,8/2/2027,8/15/2027
147,8/16/2027,8/29/2027
148,8/30/2027,9/12/2027
149,9/13/2027,9/26/2027
150,9/27/2027,10/10/2027
151,10/11/2027,10/24/2027
152,10/25/2027,11/7/2027
153,11/8/2027,11/21/2027
154,11/22/2027,12/5/2027
155,12/6/2027,12/19/2027
156,12/20/2027,1/2/2028
157,1/3/2028,1/16/2028
158,1/17/2028,1/30/2028
159,1/31/2028,2/13/2028
160,2/14/2028,2/27/2028
161,2/28/2028,3/12/2028
162,3/13/2028,3/26/2028
163,3/27/2028,4/9/2028
164,4/10/2028,4/23/2028
165,4/24/2028,5/7/2028
166,5/8/2028,5/21/2028
167,5/22/2028,6/4/2028
168,6/5/2028,6/18/2028
